cod_art,nom_art,isbn,autor,cod_edito,cod_colecc,cod_tema,precio_1
000001,CARTA  AL PADRE,9803540289,FRANZ KAFKA,010,001,140,5.0
000002,AGONIZAR EN SALAMANCA,842069536,LUCIANO GONZAKEZ EGIDO,012,001,110,10.0
000003,ANTOLOGIA POETICA 3 .,842060089,JUAN RAMON JIMENEZ,012,001,206,10.0
000004,BALADA DE LA PLAYA DE LOS PERROS,8420634387,JOSE CARDOSO PIRES,012,001,139,10.0
000005,CARTAS A JOSEFINA,8420632155,MIGUEL HERNADEZ,012,001,139,25.0
000006,DEFECTO DE FORMA,,PRIMO LEVI,012,001,139,6.0
000007,EL ALCALDE DE ZALAMEA,,PEDRO CALDERON DE LA BARCA,012,001,139,10.0
000008,EL CARLISMO,,JORDI CANAL,012,001,110,20.0
000009,EL HOMBRE,,JEAN ROSTAND,012,001,025,12.0
000010,EN BUSCA DEL TIEMPO PERDIDO 4 . SODOMA Y GOMORRA,8420610852,MARCEL PROUST,012,001,139,10.0
000011,ENCICLOPEDIA DE HISTORIA UNIVERSAL,8420685833,WILLIAM L LANGER,012,001,110,8.0
000012,ESTUDISO PSICO (PATO) LOGIA SEXUAL,,CARLOS CASTILLA DEL PINO,012,001,216,12.0
000013,EXPRESION Y REUNION,842061811,BLAS DE OTERO,012,001,139,10.0
000014,HERENCIA Y EUGENESIA,8420625523,FRANCIS GALTON,012,001,035,6.0
000015,HISTORIAS E INVENCIONES DE FELIX MURIEL,8420630055,RAFAEL DIESTE,012,001,139,10.0
000016,INTRODUCCION A LA ECONOMIA DE LA INTERNACIONAL,,RAMON TAMAMES,012,001,066,6.0
000017,LA RATA O EL DIVAN,8420617288,H.J EYSENCK,012,001,216,8.0
000018,LOS PRINCIPIOS DE LA ECONOMIA LIBERAL,8420624543,ENRIQUE BALLESTERO,012,001,066,6.0
000019,MARCEL PROUST 1 (1871 - 1903) Y 2 (1904 - 1922) (2 TOMOS),,GEORGE D PAINTER,012,001,021,15.0
000020,ORIENTE MEDIO 1 . HISTORIA ILUSTRADA,,PIERRE AMIET,012,001,110,8.0
000021,SOLOS DE CLARIN,,LEOPOLDO ALAS,012,001,139,10.0
000022,TEATRO COMPLETO 4 . SANTA JUANA DE LOS MATADEROS Y LA EXCEPCION Y LA REGLA,8420604941,BERTOLT BRECHT,012,001,232,12.0
