autor_nombre_alejandria	id_alejandria	phonetic_code	normalized_name_alejandria	name_cdl	summary_cdl	image_url_cdl	id_cdl	normalized_name_cdl	tokens_cdl	key_ol	birth_date_ol	death_date_ol	name_ol	bio_ol	alternate_names_ol	picture_ol	normalized_name_ol	tokens_ol	priority_score
ANTONIO ESQUINCA	{'9786075272795'}	ANTNSKNK	antonio esquinca							OL10010632A			Antonio Esquinca		Antonio Esquinca	/mnt/datadrive/OpenLibrary/author_images/OL10010632A.jpg	antonio esquinca	antonio esquinca	2
CARL LINFERT	{'9780810907195'}	KRLLNFRT	carl linfert							OL1001604A	1900	1981	Carl Linfert	Deutscher Kulturhistoriker und Rundfunkredakteur	Carl Linfert	/mnt/datadrive/OpenLibrary/author_images/OL1001604A.jpg	carl linfert	carl linfert	3
		KMTKRT								OL10017104A			Kurt Komoda		Kurt Komoda	/mnt/datadrive/OpenLibrary/author_images/OL10017104A.jpg	kurt komoda	komoda kurt	1
L. DWIGHT HOLDEN	{'9789681640323'}	TTLTNL	l. dwight holden							OL1003641A			L. Dwight Holden		L. Dwight Holden	/mnt/datadrive/OpenLibrary/author_images/OL1003641A.jpg	l. dwight holden	dwight holden l	2
		RTJR								OL10052543A			Rüdiger		Rüdiger	/mnt/datadrive/OpenLibrary/author_images/OL10052543A.jpg	rudiger	rudiger	1
		AKRSTRPL								OL10076807A			Asdrúbal Aguiar		Asdrúbal Aguiar	/mnt/datadrive/OpenLibrary/author_images/OL10076807A.jpg	asdrubal aguiar	aguiar asdrubal	1
DAVIS GRUBB	{'9788433969118'}	TFSKRP	davis grubb	Davis Grubb			18379.0	davis grubb	davis grubb	OL1008566A	1919	1982	Davis Grubb		Davis Grubb	/mnt/datadrive/OpenLibrary/author_images/OL1008566A.jpg	davis grubb	davis grubb	3
MELVEENA MCKENDRICK	{'8476510950'}	MKNTRKMLFN	melveena mckendrick	Melveena McKendrick			72937.0	melveena mckendrick	mckendrick melveena	OL1008873A			Melveena McKendrick		Melveena McKendrick	/mnt/datadrive/OpenLibrary/author_images/OL1008873A.jpg	melveena mckendrick	mckendrick melveena	3
RUBI GUERRA	{'9780578322018', '9789807767057', '9789807468060'}	KRRP	rubi guerra							OL10096258A			Rubi Guerra		Rubi Guerra	/mnt/datadrive/OpenLibrary/author_images/OL10096258A.jpg	rubi guerra	guerra rubi	2
		KKNMRL								OL10134480A			Mariela Kogan		Mariela Kogan	/mnt/datadrive/OpenLibrary/author_images/OL10134480A.jpg	mariela kogan	kogan mariela	1
		TNJLSLFN								OL10137299A			Silvana D'Angelo		Silvana D'Angelo	/mnt/datadrive/OpenLibrary/author_images/OL10137299A.jpg	silvana d'angelo	d'angelo silvana	1
		KRKSLL								OL10145557A			Lilly Kerekes		Lilly Kerekes	/mnt/datadrive/OpenLibrary/author_images/OL10145557A.jpg	lilly kerekes	kerekes lilly	1
DIANE DREHER	{'9788479537265'}	TNTRHR	diane dreher	DIANE DREHER			63394.0	diane dreher	diane dreher	OL10159116A			Diane Dreher		Diane Dreher	/mnt/datadrive/OpenLibrary/author_images/OL10159116A.jpg	diane dreher	diane dreher	3
LEANDRO PRADOS DE LA ESCOSURA	{'8420625302'}	TSKSRLLNTRPRTS	leandro prados de la escosura							OL1016831A			Leandro Prados de la Escosura		Leandro Prados de la Escosura	/mnt/datadrive/OpenLibrary/author_images/OL1016831A.jpg	leandro prados de la escosura	de escosura la leandro prados	2
FRANCISCO OLIVA ESTEVA	{'000041', '000042', '000080'}	ASTFFRNSSKLF	francisco oliva esteva							OL1019994A			Francisco Oliva Esteva		Francisco Oliva Esteva	/mnt/datadrive/OpenLibrary/author_images/OL1019994A.jpg	francisco oliva esteva	esteva francisco oliva	2
JUAN DE CARDENAS	{'8420603112'}	KRTNSTJN	juan de cardenas							OL1021371A	1563	1609	Juan de Cárdenas		Juan de Cárdenas	/mnt/datadrive/OpenLibrary/author_images/OL1021371A.jpg	juan de cardenas	cardenas de juan	2
HANS CHRISTIAN ANDERSEN	{'8420603597', '9789803293505'}	ANTRSNXRSXNNS	hans christian andersen	Hans Christian Andersen	Nació en Odense, Dinamarca, en 1805 y vivió una infancia de pobreza y abandono. A los 14 años se fugó a Copenhague. Trabajó para Jonas Collin, director del Teatro Real, que le pagó sus estudios. Viajó por Europa, Asia y Africa y escribió muchas obras de teatro, novelas y libros de viaje. Sus más de 150 cuentos infantiles le establecieron como uno de los grandes autores de la literatura mundial. Su obra abrió nuevas perspectivas tanto de estilo como de contenido, por su innovador empleo del lenguaje cotidiano y expresiones de los sentimientos e ideas que previamente se pensaba que estaban lejos de la comprensión de un niño. Sus cuentos han sido traducidos a más de 80 idiomas y han sido adaptados a obras de teatro, ballets, películas y obras de escultura y pintura. Murió en 1875.	/mnt/datadrive/CasaDelLibro/author_images/hc_andersen.webp	15163.0	hans christian andersen	andersen christian hans	OL10223114A			Hans Christian Andersen		Hans Christian Andersen	/mnt/datadrive/OpenLibrary/author_images/OL10223114A.jpg	hans christian andersen	andersen christian hans	5
LEWIS ROBINSON	{'9788483103104'}	LSRPNSN	lewis robinson	Lewis Robinson			109031.0	lewis robinson	lewis robinson	OL10223899A			Lewis Robinson		Lewis Robinson	/mnt/datadrive/OpenLibrary/author_images/OL10223899A.jpg	lewis robinson	lewis robinson	3
SOFIA MACIAS	{'9788403014695'}	MSSSF	sofia macias	Sofía Macías	Sofía Macías (Ciudad de México, 25 de agosto de 1984) es especialista en educación financiera y autora de la sagaPequeño Cerdo Capitalista(Finanzas personales para hippies, yuppies y bohemios; Inversiones y Agenda de retos financieros), publicada en México, España e Italia.De niña quería ser bailarina de ballet, aunque también montó algunas“miniempresas”de dulces, galletas y cuanto chunche podía venderles a otros niños. En su adolescencia quiso ser curadora de museos, pero lo cambió por periodista de finanzas y negocios. En 2008 abrió el blog Pequeño Cerdo Capitalista dedicado a temas de finanzas personales traducidos a lenguaje de los mortales.Cursó la licenciatura en Periodismo en la Escuela de Periodismo Carlos Septién García y la maestría en Administración de negocios (MBA) en la École Supérieure de Commerce de Rennes, en Francia. Ha colaborado como consultora y conferencista en temas de educación financiera en Mastercard e instituciones y organizaciones como el BID, la OCDE, la Secretaría de Hacienda, la Comisión Nacional Bancaria y de Valores, y la Global Money Week. Y después de todos estos años y ver a los lectores cumplir sus metas, las finanzas le siguen pareciendo lo más divertido y apasionante que hay.		20080810.0	sofia macias	macias sofia	OL10227566A			Sofía Macías		Sofía Macías	/mnt/datadrive/OpenLibrary/author_images/OL10227566A.jpg	sofia macias	macias sofia	4
ROBERT COOVER	{'000037', '9788433908728'}	KFRRPRT	robert coover	Robert Coover	Robert Coover (Charles City lowa, 1932), d'ençà de l'aparició de la seva primera novel·la—The origin of the Brunists (1966)—, ocupa un lloc d'honor entre els narradors nord-americans. Ha publicat també teatre i assaig. Ha viscut llargues temporades a Europa (a Anglaterra, a Itàlia, a Catalunya) i ha recorregut mig món com a lector de la seva obra i com a comentarista esportiu. Llibres com Pricksongs&descants (1969), The public burning (1977), Spanking the maid (1982) o La festa de Gerald (1986; Quaderns Crema, 1990) l'han confirmat com un dels més sòlids exponents dels nous rumbs de la novel·la experimental.		7744.0	robert coover	coover robert	OL1025269A			Roberto Guevara		Roberto Guevara	/mnt/datadrive/OpenLibrary/author_images/OL1025269A.jpg	roberto guevara	guevara roberto	4
ALONSO DE SANDOVAL	{'8420625086'}	ALNSTSNTFL	alonso de sandoval							OL1030133A	1576	1652	Alonso de Sandoval		Alonso de Sandoval	/mnt/datadrive/OpenLibrary/author_images/OL1030133A.jpg	alonso de sandoval	alonso de sandoval	2
		PRKN								OL10337691A			Parragon		Parragon	/mnt/datadrive/OpenLibrary/author_images/OL10337691A.jpg	parragon	parragon	1
LORENZA CINGOLI	{'9788412586053', '9788412394085', '9788417127718'}	SNKLLRNS	lorenza cingoli							OL10341132A			Lorenza Cingoli		Lorenza Cingoli	/mnt/datadrive/OpenLibrary/author_images/OL10341132A.jpg	lorenza cingoli	cingoli lorenza	2
		FRTMRTN								OL10341133A			Martina Forti		Martina Forti	/mnt/datadrive/OpenLibrary/author_images/OL10341133A.jpg	martina forti	forti martina	1
		PLTLS								OL10341134A			Elisa Belloti		Elisa Belloti	/mnt/datadrive/OpenLibrary/author_images/OL10341134A.jpg	elisa belloti	belloti elisa	1
MARTIN SUTER	{'9788433974945'}	MRTNSTR	martin suter	Martin Suter	"Martin Suter nació en 1948 en Zúrich. Es escritor, columnista y también guionista cinematográfico. Trabajó como publicista y director creativo hasta 1991, momento en que decidió dedicarse sólo a escribir. Suter vive con su esposa en España y Guatemala.
Foto © Maria Teresa Slanzi"		41992.0	martin suter	martin suter	OL10352286A			Martin Suter		Martin Suter	/mnt/datadrive/OpenLibrary/author_images/OL10352286A.jpg	martin suter	martin suter	4
		KRSPMNLSRT								OL10364541A			SERRAT CRESPO MANUEL,		SERRAT CRESPO MANUEL,	/mnt/datadrive/OpenLibrary/author_images/OL10364541A.jpg	serrat crespo manuel,	crespo manuel serrat	1
CHRISTA WOLF	{'9789871772995'}	KRSTLF	christa wolf							OL10377366A			Christa Wolf		Christa Wolf	/mnt/datadrive/OpenLibrary/author_images/OL10377366A.jpg	christa wolf	christa wolf	2
RUTH BROWN	{'9789707773363'}	PRNR0	ruth brown							OL10378632A			Ruth Brown		Ruth Brown	/mnt/datadrive/OpenLibrary/author_images/OL10378632A.jpg	ruth brown	brown ruth	2
